Item,Purpose,Source,Price,Inventory 
5x ESP32 (38 Pin) Dev Board,Controller,https://www.aliexpress.us/item/3256806817804530.html?spm=a2g0o.productlist.main.4.10d848141oxqoP&aem_p4p_detail=202506102206466598185403875570001161010&algo_pvid=48fa1af6-ff2b-43aa-9b4a-f935833c4a49&algo_exp_id=48fa1af6-ff2b-43aa-9b4a-f935833c4a49-3&pdp_ext_f=%7B%22order%22%3A%22279%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%213.02%213.02%21%21%2115.52%2115.52%21%402103273e17496184064547793e4147%2112000039018371019%21sea%21US%214143424543%21X&curPageLogUid=u8dcx2JhemUc&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506102206466598185403875570001161010_1,$32.10,Owned 
16x2 LCD with I2C Module,Output,https://www.aliexpress.us/item/3256806005226729.html?spm=a2g0o.productlist.main.2.79804d13N8yH4i&algo_pvid=a90143fb-32bb-4fda-9f08-d8dba886107a&algo_exp_id=a90143fb-32bb-4fda-9f08-d8dba886107a-1&pdp_ext_f=%7B%22order%22%3A%22345%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%215.19%213.47%21%21%2126.64%2117.80%21%402103273e17496184501388640e4147%2112000036221351768%21sea%21US%214143424543%21X&curPageLogUid=39uhfnZFalqo&utparam-url=scene%3Asearch%7Cquery_from%3A,$3.47,Owned 
Speakers,Output,https://www.aliexpress.us/item/3256806149654655.html?spm=a2g0o.cart.0.0.7bae38daLayrfL&mp=1&pdp_npi=5%40dis%21USD%21USD%208.38%21USD%204.11%21%21USD%204.07%21%21%21%40210308a417496184774447365ee5d6%2112000036803127306%21ct%21CA%214143424543%21%211%210&gatewayAdapt=glo2usa4itemAdapt,$2.99,Owned 
5 LEDS,Output ,https://www.aliexpress.us/item/2251832691865349.html?spm=a2g0o.productlist.main.4.716d6d0etQQpoC&algo_pvid=56d8a93a-8142-495f-a525-b7684abdfdc1&aem_p4p_detail=202506102219225958150826032020001155462&algo_exp_id=56d8a93a-8142-495f-a525-b7684abdfdc1-3&pdp_ext_f=%7B%22order%22%3A%2233%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.53%212.53%21%21%211.81%211.81%21%40210330dd17496191625445716e29c4%2165586793829%21sea%21US%214143424543%21X&curPageLogUid=ZPDo3Va2Y7OW&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202506102219225958150826032020001155462_1,$2.53,Owned 
MAX98357A,Output ,https://www.aliexpress.us/item/3256806882501015.html?spm=a2g0o.cart.0.0.624538daxjmIoN&mp=1&pdp_npi=5%40dis%21CAD%21CAD%202.53%21CAD%202.53%21%21CAD%202.53%21%21%21%402103244417496191960858421e5267%2112000039302356100%21ct%21US%214143424543%21%211%210&gatewayAdapt=glo2usa,$2.53,Owned 
17x Push Buttons,Input,https://www.aliexpress.us/item/4000097252595.html?spm=a2g0o.cart.0.0.7bae38daLayrfL&mp=1&pdp_npi=5%40dis%21CAD%21CAD%202.97%21CAD%202.73%21%21CAD%202.67%21%21%21%40210308a417496182498413141ee5d6%2110000000254921067%21ct%21CA%214143424543%21%212%210&gatewayAdapt=4itemAdapt,$10.25,Owned 
16x Charger Wires (Any work),Input,https://www.aliexpress.us/item/3256806607225846.html?spm=a2g0o.productlist.main.2.923923720zjkBr&algo_pvid=bbdf53e8-f3ce-47e9-a487-ed279747f637&algo_exp_id=bbdf53e8-f3ce-47e9-a487-ed279747f637-1&pdp_ext_f=%7B%22order%22%3A%22867%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2122.56%218.23%21%21%21115.88%2142.26%21%402103244417496183600643274e524e%2112000038323716113%21sea%21US%214143424543%21X&curPageLogUid=9A8bc6BDyMFa&utparam-url=scene%3Asearch%7Cquery_from%3A,$14.43,Owned 
Micro SD Card Module,Input,https://www.aliexpress.us/item/3256806271288304.html?spm=a2g0o.cart.0.0.7bae38daLayrfL&mp=1&pdp_npi=5%40dis%21USD%21USD%201.01%21USD%201.01%21%21USD%201.01%21%21%21%40210308a417496184774447365ee5d6%2112000037267934125%21ct%21CA%214143424543%21%211%210&gatewayAdapt=glo2usa4itemAdapt,$1.28,Highway Provided
5x USB-C Port ,Input ,https://www.aliexpress.us/item/3256805808963500.html?spm=a2g0o.cart.0.0.624538daxjmIoN&mp=1&pdp_npi=5%40dis%21CAD%21CAD%205.57%21CAD%205.57%21%21CAD%205.57%21%21%21%402103244417496191985108480e5267%2112000035225489199%21ct%21US%214143424543%21%211%210&gatewayAdapt=glo2usa,$4.11,Owned 
5x 9V Battery,Power,https://www.amazon.com/Amazon-Basics-Performance-All-Purpose-Batteries/dp/B00MH4QM1S/ref=sr_1_5?crid=2QGY1YYXPU1D4&dib=eyJ2IjoiMSJ9.fzGNkVrSG9RHtJLbMGPpY7xZcLGL-lAD_3I9Xor3bLBi5ucCm-RkqQ_F4VKqmWY50_XyMSdU-iSxdBpIUB2tHKqphlUkNbrhEVyQpkC91s3zfZmTSjIH-NpJtKXgVq8ebP-_qLptiFU8rNJLrWtDXwd9_LRovvTO28rhNIvvuftHOcberZxHILDjmCI787J0l5CIPJrtXcvNq1msvJR0lZZdKA7cwCIE2KnqY5BnDGn4g1Bbje63nlb5v62Ks8N1gJU5DwAjXM6duuOjA0F26dqYkGPln_xRiruaNxeMfqQ.4-2zJ-WQdeoxS9mUo2QKeUWw9-wwwc7aOzhaPQvcUB0&dib_tag=se&keywords=9v%2Bbattery&qid=1749618533&sprefix=9v%2Bbattery%2Caps%2C104&sr=8-5&th=1,$12.69,Highway Provided
